2024-05-20 12:24:39,902 INFO    StreamThr :22470 [internal.py:wandb_internal():87] W&B internal server running at pid: 22470, started at: 2024-05-20 12:24:39.902237
2024-05-20 12:24:39,905 DEBUG   HandlerThread:22470 [handler.py:handle_request():144] handle_request: status
2024-05-20 12:24:39,906 INFO    WriterThread:22470 [datastore.py:open_for_write():85] open: /home/dsauncy/Project-Build-an-ML-Pipeline-Starter/src/basic_cleaning/wandb/run-20240520_122439-auogh98p/run-auogh98p.wandb
2024-05-20 12:24:39,907 DEBUG   SenderThread:22470 [sender.py:send():334] send: header
2024-05-20 12:24:39,909 DEBUG   SenderThread:22470 [sender.py:send():334] send: run
2024-05-20 12:24:40,302 INFO    SenderThread:22470 [dir_watcher.py:__init__():216] watching files in: /home/dsauncy/Project-Build-an-ML-Pipeline-Starter/src/basic_cleaning/wandb/run-20240520_122439-auogh98p/files
2024-05-20 12:24:40,303 INFO    SenderThread:22470 [sender.py:_start_run_threads():1065] run started: auogh98p with start time 1716233079.901873
2024-05-20 12:24:40,303 DEBUG   SenderThread:22470 [sender.py:send_request():361] send_request: summary_record
2024-05-20 12:24:40,303 INFO    SenderThread:22470 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2024-05-20 12:24:40,304 DEBUG   HandlerThread:22470 [handler.py:handle_request():144] handle_request: check_version
2024-05-20 12:24:40,304 DEBUG   SenderThread:22470 [sender.py:send_request():361] send_request: check_version
2024-05-20 12:24:40,451 DEBUG   HandlerThread:22470 [handler.py:handle_request():144] handle_request: run_start
2024-05-20 12:24:40,452 DEBUG   HandlerThread:22470 [system_info.py:__init__():31] System info init
2024-05-20 12:24:40,452 DEBUG   HandlerThread:22470 [system_info.py:__init__():46] System info init done
2024-05-20 12:24:40,452 INFO    HandlerThread:22470 [system_monitor.py:start():151] Starting system monitor
2024-05-20 12:24:40,453 INFO    SystemMonitor:22470 [system_monitor.py:_start():116] Starting system asset monitoring threads
2024-05-20 12:24:40,453 INFO    HandlerThread:22470 [system_monitor.py:probe():172] Collecting system info
2024-05-20 12:24:40,453 INFO    SystemMonitor:22470 [interfaces.py:start():168] Started cpu
2024-05-20 12:24:40,454 INFO    SystemMonitor:22470 [interfaces.py:start():168] Started disk
2024-05-20 12:24:40,454 INFO    SystemMonitor:22470 [interfaces.py:start():168] Started memory
2024-05-20 12:24:40,455 INFO    SystemMonitor:22470 [interfaces.py:start():168] Started network
2024-05-20 12:24:40,458 DEBUG   HandlerThread:22470 [system_info.py:probe():195] Probing system
2024-05-20 12:24:40,476 DEBUG   HandlerThread:22470 [system_info.py:_probe_git():180] Probing git
2024-05-20 12:24:40,482 DEBUG   HandlerThread:22470 [system_info.py:_probe_git():188] Probing git done
2024-05-20 12:24:40,482 DEBUG   HandlerThread:22470 [system_info.py:probe():241] Probing system done
